lr,Lr,rl,Rl,ll,Ll,rr,Rr,l,r,L,R,space,shift,cpm,is_bot
124.33333333333333,66.0,122.16666666666667,0.0,120.0,0.0,99.25,0.0,1.3,1.1764705882352942,1.0,0.0,1.125,2.0,21.436716077537056,1
108.35714285714286,0.0,113.3076923076923,106.0,139.76923076923077,0.0,101.6,0.0,1.1111111111111112,1.375,0.0,1.0,1.0,2.0,20.569887034226944,1
101.66666666666667,0.0,114.57142857142857,0.0,150.7,190.0,113.33333333333333,0.0,1.28,1.2916666666666667,1.0,0.0,1.1111111111111112,2.0,20.51983584131327,1
104.46153846153847,0.0,107.91666666666667,107.0,123.73333333333333,124.0,99.4,0.0,1.0,1.5,1.0,0.0,1.0,2.0,22.530009233610343,1
95.25,75.0,93.6,110.0,110.9090909090909,138.0,153.5,0.0,1.15,1.0,0.8,1.0,1.0,1.2857142857142858,23.24561403508772,1
105.625,104.0,129.44444444444446,111.0,120.9,0.0,99.25,76.0,1.25,1.2142857142857142,1.0,1.0,1.3333333333333333,2.3333333333333335,21.744268494445755,1
125.88888888888889,79.0,129.44444444444446,0.0,134.3,0.0,118.2,0.0,1.631578947368421,1.1,1.0,0.0,1.875,2.0,19.9836867862969,1
124.4,73.0,104.9,0.0,151.27272727272728,0.0,112.44444444444444,0.0,1.1428571428571428,1.25,1.0,0.0,1.1111111111111112,1.0,20.62264525084275,1
114.1,0.0,144.77777777777777,0.0,127.06666666666666,91.0,127.125,0.0,1.4,1.2222222222222223,1.0,0.0,1.0,1.0,19.77659769273027,1
111.6923076923077,0.0,104.0,0.0,126.2,72.0,117.18181818181819,118.0,0.9130434782608695,1.28,2.0,1.0,1.1,2.0,21.93137601697913,1
204.91666666666666,208.0,257.6666666666667,0.0,288.75,0.0,159.5,0.0,157.6,153.88235294117646,175.0,0.0,167.875,241.0,10.434010434010434,0
181.0,0.0,233.30769230769232,163.0,276.0,0.0,195.8,0.0,145.42857142857142,136.20833333333334,0.0,137.0,148.25,229.0,10.48182586644125,0
219.13333333333333,0.0,257.57142857142856,0.0,295.09090909090907,550.0,309.45454545454544,0.0,158.07692307692307,146.73076923076923,144.0,0.0,129.11111111111111,171.0,8.798882681564246,0
155.46153846153845,0.0,219.33333333333334,154.0,287.73333333333335,221.0,219.0,0.0,159.06896551724137,155.77777777777777,118.0,151.0,158.5,161.5,11.054729974628488,0
212.875,190.0,283.0,327.0,342.5,366.3333333333333,1030.5,0.0,152.33333333333334,160.3846153846154,141.4,105.0,154.125,189.0,6.507592190889371,0
257.375,207.0,232.33333333333334,171.0,220.1,0.0,239.75,240.0,150.7,142.42857142857142,202.0,144.5,151.0,153.33333333333334,10.117672935224899,0
218.11111111111111,157.0,231.88888888888889,0.0,311.27272727272725,0.0,225.5,0.0,142.7,155.75,156.0,0.0,165.5,139.0,9.919650828290845,0
304.1,762.0,179.4,0.0,322.90909090909093,752.0,190.44444444444446,0.0,151.9090909090909,146.95,137.33333333333334,0.0,154.22222222222223,237.0,8.334530823394164,0
364.8181818181818,0.0,265.2,0.0,330.2,100.0,183.28571428571428,0.0,144.06451612903226,152.61111111111111,147.0,0.0,155.8,182.0,8.191217940110112,0
214.07692307692307,0.0,174.41666666666666,0.0,261.6,417.0,204.1818181818182,141.0,154.30434782608697,169.16,124.0,107.0,161.7,198.5,11.214615175906665,0
289.3333333333333,164.0,269.0,0.0,294.375,0.0,157.25,0.0,138.7,132.0,129.0,0.0,123.125,148.0,9.405643386031619,0
213.92857142857142,0.0,377.0,159.0,347.46153846153845,0.0,227.8,0.0,131.7037037037037,105.83333333333333,0.0,107.0,99.0,547.0,7.9349593495934965,0
230.93333333333334,0.0,282.85714285714283,0.0,709.1818181818181,1379.0,914.6,0.0,123.84615384615384,120.28,116.0,0.0,103.88888888888889,470.0,4.723629576016151,0
472.9230769230769,0.0,295.4166666666667,136.0,420.26666666666665,226.0,357.4,0.0,131.31034482758622,127.27777777777777,139.0,120.0,102.63636363636364,276.5,6.503041745332494,0
267.0,749.0,359.0,351.0,432.1818181818182,465.6666666666667,607.5,0.0,121.6,129.92307692307693,104.0,107.0,119.71428571428571,332.3076923076923,6.055363321799308,0
240.22222222222223,637.0,381.8,260.0,183.16666666666666,0.0,121.6,334.0,141.08695652173913,135.625,60.5,119.0,119.85714285714286,67.3265306122449,9.453781512605042,0
256.77777777777777,195.0,170.33333333333334,0.0,330.1,0.0,370.5,0.0,142.8421052631579,133.85,120.0,0.0,114.25,232.0,8.623724040830695,0
392.1,237.0,225.4,0.0,369.72727272727275,0.0,302.0,0.0,149.14285714285714,117.45,88.0,0.0,117.44444444444444,371.0,7.687190479710252,0
278.54545454545456,0.0,402.6,0.0,446.6,254.0,256.5,0.0,128.92307692307693,139.04761904761904,147.0,0.0,115.33333333333333,305.0,6.848910668949637,0
192.15384615384616,0.0,187.91666666666666,0.0,361.72727272727275,351.0,227.1818181818182,197.0,137.375,137.88,111.0,140.0,100.8,96.25,10.179640718562874,0
126.61538461538461,312.0,166.69230769230768,0.0,130.57142857142858,0.0,89.0,0.0,103.6,93.05555555555556,109.0,0.0,116.5,162.0,17.45771958537916,0
107.0,0.0,134.76923076923077,131.0,149.92307692307693,0.0,184.0,0.0,99.96296296296296,96.41666666666667,0.0,75.0,99.25,136.0,16.614462753642925,0
141.86666666666667,0.0,188.71428571428572,0.0,163.1,493.0,178.33333333333334,0.0,106.4,97.5,139.0,0.0,97.44444444444444,161.0,13.850415512465373,0
142.6153846153846,0.0,152.66666666666666,137.0,193.46666666666667,289.0,183.0,0.0,106.72413793103448,86.61111111111111,102.0,78.0,113.0,200.0,14.537654909437558,0
118.125,129.0,354.8,177.0,214.36363636363637,345.6666666666667,454.0,0.0,104.5,95.53846153846153,94.2,74.0,90.28571428571429,198.625,9.281540048126503,0
90.875,256.0,178.44444444444446,133.0,120.4,0.0,95.5,162.0,111.8,91.57142857142857,86.0,101.5,102.5,140.0,16.87144690995782,0
134.7,193.0,151.4,0.0,290.64285714285717,0.0,245.0,0.0,105.58333333333333,105.20833333333333,94.0,0.0,115.2,215.0,11.392765593847905,0
