uuid,sentence_id,key_event,key_code,key_char,alt_key,ctrl_key,shift_key,is_bot,timestamp
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,79,o,0,0,0,1,1621814295913.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,71,g,0,0,0,1,1621814296000.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,71,g,0,0,0,1,1621814296000.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,83,s,0,0,0,1,1621814296085.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,83,s,0,0,0,1,1621814296086.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keydown,190,.,0,0,0,1,1621814296165.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,1,keyup,190,.,0,0,0,1,1621814296166.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keydown,16,Shift,0,0,0,1,1621814297281.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keydown,74,J,0,0,1,1,1621814297282.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keyup,16,Shift,0,0,0,1,1621814297283.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keyup,74,J,0,0,1,1,1621814297283.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keydown,65,a,0,0,0,1,1621814297358.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keyup,65,a,0,0,0,1,1621814297359.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keydown,67,c,0,0,0,1,1621814297448.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keyup,67,c,0,0,0,1,1621814297449.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keydown,75,k,0,0,0,1,1621814297511.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keyup,75,k,0,0,0,1,1621814297511.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keydown,73,i,0,0,0,1,1621814297577.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keyup,73,i,0,0,0,1,1621814297578.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keydown,69,e,0,0,0,1,1621814297672.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keyup,69,e,0,0,0,1,1621814297673.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keydown,32, ,0,0,0,1,1621814297744.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keyup,32, ,0,0,0,1,1621814297744.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keydown,87,w,0,0,0,1,1621814297842.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keyup,87,w,0,0,0,1,1621814297843.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keydown,73,i,0,0,0,1,1621814297922.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keyup,73,i,0,0,0,1,1621814297924.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keydown,76,l,0,0,0,1,1621814298026.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keyup,76,l,0,0,0,1,1621814298027.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keydown,76,l,0,0,0,1,1621814298099.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keyup,76,l,0,0,0,1,1621814298100.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keydown,32, ,0,0,0,1,1621814298190.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keyup,32, ,0,0,0,1,1621814298191.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keydown,66,b,0,0,0,1,1621814298280.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keyup,66,b,0,0,0,1,1621814298281.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keydown,85,u,0,0,0,1,1621814298383.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keyup,85,u,0,0,0,1,1621814298384.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keydown,68,d,0,0,0,1,1621814298489.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keyup,68,d,0,0,0,1,1621814298490.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keydown,71,g,0,0,0,1,1621814298589.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keyup,71,g,0,0,0,1,1621814298590.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keydown,69,e,0,0,0,1,1621814298652.00
004d6f86-a0cf-4253-9e2a-7f3d4ce394d4,2,keyup,69,e,0,0,0,1,1621814298653.00
